# English glosses (and translation links) for the prayers, keyed by the NCX href.
# Read by tools/dkarchag.py for the 'Show English titles' switch. Kept from the
# retired English contents page (toc1.htm, retired 2026-09-17).
# href	gloss	translation_url
OPS/titlepage.htm	Version, where to download the latest, where to report errors	
OPS/p004-084.htm#page4	Extensive refuge, bodhicitta and seven-branch prayer	
OPS/p004-084.htm#page27	The ritual for giving rise to the mind of supreme awakening	
OPS/p004-084.htm#page30	The Eight Auspicious Ones	
OPS/p004-084.htm#page34	Praising the Sage	https://www.lhaseylotsawa.org/library/in-praise-of-the-buddha
OPS/p004-084.htm#page39	Ritual for the Sage (Treasury of Blessings)	https://www.lhaseylotsawa.org/library/treasury-of-blessings
OPS/p004-084.htm#page48	Homage and Offerings to the Elders	https://www.lhaseylotsawa.org/library/homage-and-offering-to-sixteen-elders
OPS/p004-084.htm#page60	Seven Line Supplication	
OPS/p004-084.htm#page61	Supplication to the Trikaya Guru	
OPS/p004-084.htm#page62	Testament Supplication	
OPS/p004-084.htm#page64	Supplication to Lineage Masters	
OPS/p004-084.htm#page70	Biography Supplication to Chokling	
OPS/p004-084.htm#page77	Biography Supplication to Khyentse	
OPS/p004-084.htm#page84	Biography Supplication to Kongtrul	
OPS/p088-115.htm#page88	Concise Daily Practice	
OPS/p088-115.htm#page92	Sangtik Dorsem	
OPS/p088-115.htm#p104	Zabtik Drolchok	
OPS/p088-115.htm#page115	Tara section	https://www.lhaseylotsawa.org/library/zaptik-drolchok-1
OPS/p133-214.htm#page133	Water offering to Pretas	
OPS/p133-214.htm#page135	Water offering	
OPS/p133-214.htm#page137	Water offering to Dzambala	
OPS/p133-214.htm#page142	Smoke offering to please the gods	
OPS/p133-214.htm#page148	Three parts	
OPS/p133-214.htm#page154	White Sur	
OPS/p133-214.htm#page157	Red Sur	
OPS/p133-214.htm#page161	Recollecting the Jewels	
OPS/p133-214.htm#page170	Enjoying the Feast	
OPS/p133-214.htm#page175	Tea Offering	
OPS/p133-214.htm#page177	Gang ki lodröma (Prayer to Manjushri)	
OPS/p133-214.htm#page179	Chanting the names of Manjushri	
OPS/p219-254.htm#page219	Amitāyus dhāraṇī	
OPS/p219-254.htm#page220	Miscellaneous dharani mantras	
OPS/p219-254.htm#page226	Ablution Ritual, Nectar of the Moon (Barchey Künsel)	
OPS/p219-254.htm#page247	Vajravidāraṇa (Namjom)	
OPS/p219-254.htm#page254	TODO	
OPS/p257-313.htm#page257	Seven Chapters	
OPS/p257-313.htm#page257	Supplication in Seven Chapters	
OPS/p257-313.htm#leu1	(1) Trikaya Guru Supplication	
OPS/p257-313.htm#leu2	(2) Requested by King Trisong Deutsena	
OPS/p257-313.htm#leu3	(3) Requested by Khandro Yeshe Tsogyal	
OPS/p257-313.htm#leu4	(4) Requested by Bikshu Namkai Nyingpo	
OPS/p257-313.htm#leu5	(5) Requested by Nanam Dudjom	
OPS/p257-313.htm#leu6	(6) Requested by Prince Mutri Tsenpo	
OPS/p257-313.htm#leu7	(7) Sampa Lhundrup	https://www.lhaseylotsawa.org/library/sampa-lhundrup-supplication
OPS/p319-418.htm#page319	Barche Lamsel	https://www.lhaseylotsawa.org/library/prayer-that-removes-obstacles-from-the-path
OPS/p319-418.htm#page328	Quick Fulfilment of Wishes	https://www.lhaseylotsawa.org/library/prayer-that-swiftly-fulfills-all-wishesacknowledgements.htm
OPS/p319-418.htm#page330	The Snowy Land	
OPS/p319-418.htm#page334	Lineage Supplication to Tukdrub Barche Kunsel	
OPS/p319-418.htm#page336	Five-Fold Consecration	
OPS/p319-418.htm#page339	Torma offering to the local deities	
OPS/p319-418.htm#page340	Supplementary notes to Trinley Nyingpo	
OPS/p319-418.htm#tn_intro	Refuge, bodhicitta and the obstructor torma	
OPS/p319-418.htm#page342	Opening the mantra mansion	
OPS/p319-418.htm#tn_dissolution	Dissolution of the mantra mansion and of the visualization	
OPS/p319-418.htm#tn_srungma	Torma offerings to the protectors	
OPS/p319-418.htm#tn_siddhis	Receiving the siddhis and apologizing for faults	
OPS/p319-418.htm#page346	Trinley Nyingpo	
OPS/p319-418.htm#page357	Turquoise Chamber Mending Chant	https://www.lhaseylotsawa.org/library/turquoise-decked-chamber
OPS/p319-418.htm#page378	Vajrasatta Liberation on Hearing from Tukdrub Barche Kunsel	
OPS/p319-418.htm#toc_1	Lotus Essence Tantra	
OPS/p319-418.htm#page395	Phowa	
OPS/p319-418.htm#page362	Guru Yoga joined to the Seven-Line Prayer	
OPS/p319-418.htm#toc_3	Emptying the Hells from their Very Depths (Narak Kongshag) A B	https://www.lhaseylotsawa.org/library/arrangement-for-narak-kongshak
OPS/p319-418.htm#TOC_NarakDongtruk	Narak Dongtruk, the confession itself, which the arrangement above jumps into	
OPS/p319-418.htm#page418	Lamp Aspiration Prayer	
OPS/p420-534.htm#page420	Yeshe Kuchokma	https://www.lhaseylotsawa.org/library/ultimate-inexpressible-confession-yeshe-kunchokma-1
OPS/p420-534.htm#page425	General Confession to the Sugatas	
OPS/p420-534.htm#page428	Tsog Song (Lemön Tendrel)	https://www.lhaseylotsawa.org/library/lemon-tendrel
OPS/p420-534.htm#page430	Lineage Prayer for Sangtik Phurba	
OPS/p420-534.htm#page431	Sangtik Phurba	
OPS/p420-534.htm#page441	Gönpo Lekden	
OPS/p420-534.htm#page445	General Torma for the Protectors	
OPS/p420-534.htm#page468	The Swift Activity (Lama Yidam)	
OPS/p420-534.htm#page472	Daily Torma Offering to the Dharma Protectors (Gongdü)	
OPS/p420-534.htm#page474	TODO	
OPS/p420-534.htm#page477	Ma Za Dam Sum	
OPS/p420-534.htm#page481	Düsolma (Dhūmāvatī)	
OPS/p420-534.htm#page483	Protectors of Vajrakīla	
OPS/p420-534.htm#page487	Mahādeva (Lhachen)	
OPS/p420-534.htm#page490	Concise Vaiśravaṇa	
OPS/p420-534.htm#page494	Torma Dedication to the Treasure Guardian	
OPS/p420-534.htm#page497	Tseringma Torma Offering	https://www.lhaseylotsawa.org/library/tseringma-torma-offering
OPS/p420-534.htm#page499	Offering to the Gyalpo	
OPS/p420-534.htm#page502	The Five Classes of Drekpa	
OPS/p420-534.htm#page506	Golden Libation to the Eight Classes	
OPS/p420-534.htm#page510	Heart Sutra	
OPS/p420-534.htm#page517	Averting Negativity through Siṃhamukhā, The Lion-Faced Ḍākinī	https://www.lhaseylotsawa.org/library/averting-negativity-with-the-lion-faced-lady
OPS/p420-534.htm#page518	White Umbrella	
OPS/p420-534.htm#page526	Vanquishing Hostile Forces	
OPS/p420-534.htm#page534	Averting the Si Spirits	
OPS/p543-615.htm#page543	General Long-Life Prayer, by Chokgyur Lingpa	
OPS/p543-615.htm#page546	Lujin Chö (Brief Giving of the Body)	
OPS/p543-615.htm#page557	Lineage Prayer for Khorwa Dongdruk	
OPS/p543-615.htm#page558	Khorwa Dongdruk	
OPS/p543-615.htm#page571	Confession of a Bodhisattva's Downfalls	
OPS/p543-615.htm#page578	Khorwa Dongdruk	
OPS/p543-615.htm#page581	Sangchö (Aspiration for Good Conduct)	
OPS/p543-615.htm#page596	Maitreya Aspiration	
OPS/p543-615.htm#page603	Bodhicharyavatara (dedications)	
